generation,best_fitness,mean_fitness,accuracy,neuron_count,synapse_count
698,0.75,0,0.5,5,3
699,0.75,0,0.5,5,3
700,0.75,0,0.5,5,3
701,0.75,0,0.5,5,3
702,0.75,0,0.5,5,3
703,0.75,0,0.5,5,3
704,0.75,0,0.5,5,3
705,0.75,0,0.5,5,3
706,0.75,0,0.5,5,3
707,0.75,0,0.5,5,3
708,0.75,0,0.5,5,3
709,0.75,0,0.5,5,3
710,0.75,0,0.5,5,3
711,0.75,0,0.5,5,3
712,0.75,0,0.5,5,3
713,0.75,0,0.5,5,3
714,0.75,0,0.5,5,3
715,0.75,0,0.5,5,3
716,0.75,0,0.5,5,3
717,0.75,0,0.5,5,3
718,0.75,0,0.5,5,3
719,0.75,0,0.5,5,3
720,0.75,0,0.5,5,3
721,0.75,0,0.5,5,3
722,0.75,0,0.5,5,3
723,0.75,0,0.5,5,3
724,0.75,0,0.5,5,3
725,0.75,0,0.5,5,3
726,0.75,0,0.5,5,3
727,0.75,0,0.5,5,3
728,0.75,0,0.5,5,3
729,0.75,0,0.5,5,3
730,0.75,0,0.5,5,3
731,0.75,0,0.5,5,3
732,0.75,0,0.5,5,3
733,0.75,0,0.5,5,3
734,0.75,0,0.5,5,3
735,0.75,0,0.5,5,3
736,0.75,0,0.5,5,3
737,0.75,0,0.5,5,3
738,0.75,0,0.5,5,3
739,0.75,0,0.5,5,3
740,0.75,0,0.5,5,3
741,0.75,0,0.5,5,3
742,0.75,0,0.5,5,3
743,0.75,0,0.5,5,3
744,0.75,0,0.5,5,3
745,0.75,0,0.5,5,3
746,0.75,0,0.5,5,3
747,0.75,0,0.5,5,3
748,0.75,0,0.5,5,3
749,0.75,0,0.5,5,3
750,0.75,0,0.5,5,3
751,0.75,0,0.5,5,3
752,0.75,0,0.5,5,3
753,0.75,0,0.5,5,3
754,0.75,0,0.5,5,3
755,0.75,0,0.5,5,3
756,0.75,0,0.5,5,3
757,0.75,0,0.5,5,3
758,0.75,0,0.5,5,3
759,0.75,0,0.5,5,3
760,0.75,0,0.5,5,3
761,0.75,0,0.5,5,3
762,0.75,0,0.5,5,3
763,0.75,0,0.5,5,3
764,0.75,0,0.5,5,3
765,0.75,0,0.5,5,3
766,0.75,0,0.5,5,3
767,0.75,0,0.5,5,3
768,0.75,0,0.5,5,3
769,0.75,0,0.5,5,3
770,0.75,0,0.5,5,3
771,0.75,0,0.5,5,3
772,0.75,0,0.5,5,3
773,0.75,0,0.5,5,3
774,0.75,0,0.5,5,3
775,0.75,0,0.5,5,3
776,0.75,0,0.5,5,3
777,0.75,0,0.5,5,3
778,0.75,0,0.5,5,3
779,0.75,0,0.5,5,3
780,0.75,0,0.5,5,3
781,0.75,0,0.5,5,3
782,0.75,0,0.5,5,3
783,0.75,0,0.5,5,3
784,0.75,0,0.5,5,3
785,0.75,0,0.5,5,3
786,0.75,0,0.5,5,3
787,0.75,0,0.5,5,3
788,0.75,0,0.5,5,3
789,0.75,0,0.5,5,3
790,0.75,0,0.5,5,3
791,0.75,0,0.5,5,3
792,0.75,0,0.5,5,3
793,0.75,0,0.5,5,3
794,0.75,0,0.5,5,3
795,0.75,0,0.5,5,3
796,0.75,0,0.5,5,3
797,0.75,0,0.5,5,3
798,0.75,0,0.5,5,3
799,0.75,0,0.5,5,3
800,0.75,0,0.5,5,3
801,0.75,0,0.5,5,3
802,0.75,0,0.5,5,3
803,0.75,0,0.5,5,3
804,0.75,0,0.5,5,3
